:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	ID	Sex	fmal	fmal	fmal	fmar	fmar	fmar	fmtl	fmtl	fmtl	glb	glb	glb	nas	nas	nas	
Darkorange	Dot	211	1	141,1447	102,5842	343,4069	236,4753	126,2488	344,4957	139,7706	97,7874	340,7204	194,1324	95,9275	363,9771	191,494	104,154	362,6313	
Darkorange	Dot	212	1	136,0924	92,9202	345,1786	230,9257	122,0994	343,7259	132,7834	88,8171	339,472	187,7567	96,4953	363,4857	183,7401	103,1228	362,4165	
Darkorange	Dot	213	1	139,9148	97,7244	338,6783	231,9669	124,6258	338,996	138,1838	92,9878	333,9809	190,9767	94,1349	358,2496	188,7769	100,9968	357,751	
Darkorange	Dot	214	1	145,5832	87,4307	343,3733	245,9667	108,7095	344,8515	143,355	83,4768	336,444	200,1618	79,8506	361,3546	198,7472	85,5305	362,1133	
Darkorange	Dot	216	1	137,8101	99,4172	342,7266	237,8041	127,0256	345,3642	135,7399	93,9434	337,8892	192,2472	95,5317	365,7254	190,3132	100,2189	364,9118	
Darkorange	Dot	217	1	149,8725	84,0273	343,7744	244,156	111,4265	345,0563	147,9167	79,8135	338,9484	201,9651	78,7362	364,0172	200,3374	85,3747	363,6668	
Darkorange	Dot	218	1	144,5153	93,2257	348,3404	240,3583	114,5139	351,0211	143,7988	89,1677	342,5886	195,6305	88,8727	371,0937	195,0545	94,6593	370,2446	
Darkorange	Dot	219	1	150,6521	83,2514	339,1484	241,8982	108,1506	342,7948	147,3711	79,817	334,6432	201,0038	87,3135	353,1131	198,4843	93,383	352,9187	
Darkorange	Dot	220	1	150,6658	89,7529	349,6104	246,4803	111,0069	345,2412	149,2397	89,2069	346,5211	203,3078	82,6712	366,141	201,3674	89,7774	365,8844	
Darkorange	Dot	221	1	154,1499	86,398	349,7403	251,2536	105,2396	345,9537	151,7648	82,8036	346,1104	207,4857	78,1313	362,3973	206,2415	82,7817	363,3196	
Darkorange	Dot	222	1	140,955317	94,11646	355,213675	234,4524	124,4156	351,0856	139,23678	90,774594	351,60215	193,0991	95,4931	370,4825	190,5793	101,7107	369,3386	
Darkorange	Dot	223	1	141,9263	88,2077	341,3874	237,0667	113,5009	340,9866	138,5115	85,8006	335,7043	193,9904	83,4972	356,1471	192,0665	90,5794	355,6296	
Darkorange	Dot	224	1	150,4455	92,447	348,205	243,8128	116,9565	350,2087	147,5569	86,7473	344,2125	200,084	90,041	365,3862	198,9718	95,9378	364,2499	
