Species;Site;Specimen = inventory n°;Sex;Source;Tooth;Tooth;Tooth;Crown;
;;;;;Tooth;Right / Left;Upper / Lower;M.D. (in mm);B.L. (in mm)
Gorilla gorilla;Cleveland Museum of Natural History;1754;Male;Original (Mahler);M3;;Superior;13,55;14,95
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);I1;;Inferior;5,8;7,2
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);I2;;Inferior;7,4;7,9
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);C;;Inferior;10,1;11,9
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);Pm3;;Inferior;9,7;14,7
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);Pm4;;Inferior;9,9;11,9
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);M1;;Inferior;14,2;11,8
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);M2;;Inferior;15,2;13,6
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);M3;;Inferior;15,1;13,6
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);I1;;Superior;11,2;8,8
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);I2;;Superior;8,2;7,9
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);C;;Superior;13;10,85
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);Pm3;;Superior;10;14,1
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);Pm4;;Superior;9,7;13,35
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);M1;;Superior;12,6;13,95
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);M2;;Superior;13,65;14,75
Gorilla gorilla;Cleveland Museum of Natural History;1756;Female;Original (Mahler);M3;;Superior;14,05;14,2
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);I1;;Inferior;8,4;8,8
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);I2;;Inferior;9,3;9,5
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);C;;Inferior;10,6;13,1
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);Pm3;;Inferior;9,8;15,1
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);Pm4;;Inferior;10,1;11,6
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);M1;;Inferior;13,7;12,2
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);M2;;Inferior;14,7;13,4
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);M3;;Inferior;14,2;12,2
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);I1;;Superior;13,2;10,4
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);I2;;Superior;10;8,9
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);C;;Superior;14,3;11,15
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);Pm3;;Superior;10,45;14,5
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);Pm4;;Superior;9,8;13,7
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);M1;;Superior;13,1;14
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);M2;;Superior;13,6;14,5
Gorilla gorilla;Cleveland Museum of Natural History;1764;Female;Original (Mahler);M3;;Superior;12;13,3
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);C;;Inferior;14,2;18,6
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);Pm3;;Inferior;11,8;18
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);Pm4;;Inferior;10,6;12,8
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);M1;;Inferior;15;14,1
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);M2;;Inferior;17,4;15,8
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);M3;;Inferior;17,1;15,2
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);C;;Superior;21,5;16,5
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);Pm3;;Superior;10,85;16,05
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);Pm4;;Superior;10,6;15,65
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);M1;;Superior;14,05;15,8
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);M2;;Superior;15,9;17,4
Gorilla gorilla;Cleveland Museum of Natural History;1776;Male;Original (Mahler);M3;;Superior;13,9;15,7
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);I1;;Inferior;8,3;10,1
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);I2;;Inferior;9,7;11,2
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);C;;Inferior;15,8;20
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);Pm3;;Inferior;11,7;18
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);Pm4;;Inferior;11,6;13,3
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);M1;;Inferior;16,2;13,7
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);M2;;Inferior;18,4;16,1
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);M3;;Inferior;17,9;16
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);I1;;Superior;14,2;11,6
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);I2;;Superior;9,8;10,5
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);C;;Superior;21,4;15,9
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);Pm3;;Superior;11,4;16,65
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);Pm4;;Superior;11,1;15,9
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);M1;;Superior;15,5;15,95
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);M2;;Superior;16,2;16,5
Gorilla gorilla;Cleveland Museum of Natural History;1780;Male;Original (Mahler);M3;;Superior;15,95;16,4
Gorilla gorilla;Cleveland Museum of Natural History;1781;Male;Original (Mahler);Pm3;;Inferior;10,7;16,5
Gorilla gorilla;Cleveland Museum of Natural History;1781;Male;Original (Mahler);Pm4;;Inferior;12,7;12,6
Gorilla gorilla;Cleveland Museum of Natural History;1781;Male;Original (Mahler);M1;;Inferior;15,8;14,9
Gorilla gorilla;Cleveland Museum of Natural History;1781;Male;Original (Mahler);M2;;Inferior;17,4;15,8
Gorilla gorilla;Cleveland Museum of Natural History;1781;Male;Original (Mahler);M3;;Inferior;16,1;15,2
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);I1;;Inferior;7,9;8,1
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);I2;;Inferior;9;9,1
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);C;;Inferior;10;12,7
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);Pm3;;Inferior;9,9;15,1
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);Pm4;;Inferior;10,3;12,8
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);M1;;Inferior;15,8;13,1
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);M2;;Inferior;17;14,4
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);I1;;Superior;12,8;10,5
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);I2;;Superior;9,6;9,6
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);C;;Superior;14,1;11,6
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);Pm3;;Superior;10,65;15,15
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);Pm4;;Superior;10,1;14,05
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);M1;;Superior;14,3;15,4
Gorilla gorilla;Cleveland Museum of Natural History;1782;Female;Original (Mahler);M2;;Superior;14,55;15,7
Gorilla gorilla;Cleveland Museum of Natural History;1783;Female;Original (Mahler);I1;;Inferior;8,4;8,4
Gorilla gorilla;Cleveland Museum of Natural History;1783;Female;Original (Mahler);I2;;Inferior;9,8;9,7
Gorilla gorilla;Cleveland Museum of Natural History;1783;Female;Original (Mahler);Pm3;;Inferior;10,4;15,4
Gorilla gorilla;Cleveland Museum of Natural History;1783;Female;Original (Mahler);Pm4;;Inferior;10,2;12,6
Gorilla gorilla;Cleveland Museum of Natural History;1783;Female;Original (Mahler);M1;;Inferior;14,7;12,2
Gorilla gorilla;Cleveland Museum of Natural History;1783;Female;Original (Mahler);M2;;Inferior;16,2;14,2
Gorilla gorilla;Cleveland Museum of Natural History;1783;Female;Original (Mahler);I1;;Superior;13,9;9,8
Gorilla gorilla;Cleveland Museum of Natural History;1783;Female;Original (Mahler);Pm3;;Superior;10,4;13,85
Gorilla gorilla;Cleveland Museum of Natural History;1783;Female;Original (Mahler);M1;;Superior;13,5;14,35
Gorilla gorilla;Cleveland Museum of Natural History;1783;Female;Original (Mahler);M2;;Superior;14,5;15,4
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);I1;;Inferior;8,2;9,2
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);I2;;Inferior;11,3;10
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);C;;Inferior;15,5;19,1
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);Pm3;;Inferior;11,7;17,9
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);Pm4;;Inferior;12,6;13,7
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);M1;;Inferior;15,8;13,5
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);M2;;Inferior;17,6;15,2
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);M3;;Inferior;15,9;14,1
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);I1;;Superior;14,7;10,8
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);I2;;Superior;10,1;8,8
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);C;;Superior;22;15,25
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);Pm3;;Superior;12,45;17
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);Pm4;;Superior;11,15;15,5
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);M1;;Superior;15;16,05
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);M2;;Superior;16,3;17,1
Gorilla gorilla;Cleveland Museum of Natural History;1784;Male;Original (Mahler);M3;;Superior;14,65;14,85
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);I1;;Inferior;7,9;9,8
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);I2;;Inferior;9,9;10,2
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);C;;Inferior;15,9;18,1
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);Pm3;;Inferior;11,7;17,8
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);Pm4;;Inferior;10,8;13,4
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);M1;;Inferior;15,1;14,1
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);M2;;Inferior;16,8;16,5
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);M3;;Inferior;16,8;15,5
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);I1;;Superior;11,9;8,9
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);I2;;Superior;9,1;9,8
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);C;;Superior;23,1;15,7
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);Pm3;;Superior;10,8;15,95
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);Pm4;;Superior;10,1;15,75
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);M1;;Superior;14,9;15,95
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);M2;;Superior;15,65;16,05
Gorilla gorilla;Cleveland Museum of Natural History;1787;Male;Original (Mahler);M3;;Superior;13,45;14,05
Gorilla gorilla;Cleveland Museum of Natural History;1788;Male;Original (Mahler);Pm3;;Superior;12,35;15,8
Gorilla gorilla;Cleveland Museum of Natural History;1788;Male;Original (Mahler);Pm4;;Superior;11,7;15,7
Gorilla gorilla;Cleveland Museum of Natural History;1788;Male;Original (Mahler);M1;;Superior;15,6;16,25
Gorilla gorilla;Cleveland Museum of Natural History;1788;Male;Original (Mahler);M2;;Superior;17,15;16,9
Gorilla gorilla;Cleveland Museum of Natural History;1788;Male;Original (Mahler);M3;;Superior;15,9;16
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);I1;;Inferior;7,2;9,5
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);I2;;Inferior;8,8;11
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);C;;Inferior;15,1;21,1
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);Pm3;;Inferior;13,8;20
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);Pm4;;Inferior;12;14,4
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);M1;;Inferior;16;14,3
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);M2;;Inferior;18,4;15,4
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);M3;;Inferior;17,7;16,1
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);I1;;Superior;12,9;12
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);I2;;Superior;8,9;10,6
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);C;;Superior;20,8;17,65
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);Pm3;;Superior;11,35;18,05
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);Pm4;;Superior;10,9;15,75
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);M1;;Superior;14,7;15,9
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);M2;;Superior;16,15;16,6
Gorilla gorilla;Cleveland Museum of Natural History;1790;Male;Original (Mahler);M3;;Superior;15,9;16,15
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);I1;;Inferior;7,8;8,2
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);I2;;Inferior;8,8;9,2
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);C;;Inferior;14,9;16,9
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);Pm3;;Inferior;11,6;17,9
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);Pm4;;Inferior;10,8;13
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);M1;;Inferior;15,6;13,8
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);M2;;Inferior;16,4;15,7
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);M3;;Inferior;16,2;15,8
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);I1;;Superior;13,8;10,2
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);I2;;Superior;8,9;8,7
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);C;;Superior;19,4;15,05
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);Pm3;;Superior;11,05;15,1
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);Pm4;;Superior;10,35;15,15
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);M1;;Superior;14,55;15,7
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);M2;;Superior;15,1;17
Gorilla gorilla;Cleveland Museum of Natural History;1795;Male;Original (Mahler);M3;;Superior;14,05;15,2
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);I1;;Inferior;6,8;8,5
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);I2;;Inferior;9,2;9,9
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);C;;Inferior;14,7;17,9
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);Pm3;;Inferior;12,4;16,8
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);Pm4;;Inferior;11,7;13,3
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);M1;;Inferior;15,4;13,9
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);M2;;Inferior;17,3;14,9
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);M3;;Inferior;17;14,7
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);I1;;Superior;13,2;9,7
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);I2;;Superior;9,3;8,8
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);C;;Superior;20,7;15,75
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);Pm3;;Superior;11,5;15,65
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);Pm4;;Superior;10,6;15,1
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);M1;;Superior;14,8;15,9
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);M2;;Superior;15,8;17,2
Gorilla gorilla;Cleveland Museum of Natural History;1796;Male;Original (Mahler);M3;;Superior;13,9;15,75
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);I1;;Inferior;6,2;8,7
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);I2;;Inferior;8;9,6
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);C;;Inferior;15,7;18,8
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);Pm3;;Inferior;11,9;17,2
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);Pm4;;Inferior;11;12,7
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);M1;;Inferior;14,8;13,7
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);M2;;Inferior;16,9;15,7
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);M3;;Inferior;16,8;15,8
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);I1;;Superior;12,2;10,9
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);I2;;Superior;8,8;9,4
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);C;;Superior;22,9;17,75
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);Pm3;;Superior;11,35;17,1
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);Pm4;;Superior;10,9;14,55
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);M1;;Superior;14,45;16
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);M2;;Superior;15,95;17,75
Gorilla gorilla;Cleveland Museum of Natural History;1797;Male;Original (Mahler);M3;;Superior;13,9;16
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);I1;;Inferior;7,7;7,7
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);I2;;Inferior;8,2;8,2
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);C;;Inferior;9,7;12,8
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);Pm3;;Inferior;11,2;13,8
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);Pm4;;Inferior;10,1;12,2
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);M1;;Inferior;15,1;12,8
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);M2;;Inferior;15,8;14,9
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);M3;;Inferior;14,6;13,6
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);I1;;Superior;11,2;9,3
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);I2;;Superior;9,2;8,4
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);C;;Superior;14,4;10,75
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);Pm3;;Superior;10,25;15
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);Pm4;;Superior;10,25;14,1
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);M1;;Superior;14,15;14,55
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);M2;;Superior;14,9;15,4
Gorilla gorilla;Cleveland Museum of Natural History;1798;Female;Original (Mahler);M3;;Superior;13,15;14,5
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);I1;;Inferior;5,8;8
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);I2;;Inferior;7,7;9,4
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);C;;Inferior;10,2;12,8
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);Pm3;;Inferior;10,1;14,4
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);Pm4;;Inferior;10;12,1
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);M1;;Inferior;14,2;12,3
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);M2;;Inferior;16,4;14,5
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);M3;;Inferior;16,9;14,2
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);I1;;Superior;11,2;9,7
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);I2;;Superior;8,8;8,9
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);C;;Superior;14,5;11,25
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);Pm3;;Superior;10,95;14,4
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);Pm4;;Superior;10,75;13,8
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);M1;;Superior;12,6;14,15
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);M2;;Superior;14,6;15,2
Gorilla gorilla;Cleveland Museum of Natural History;1806;Female;Original (Mahler);M3;;Superior;12,85;13,45
Gorilla gorilla;Cleveland Museum of Natural History;1844;Male;Original (Mahler);I1;;Inferior;9,3;9
Gorilla gorilla;Cleveland Museum of Natural History;1844;Male;Original (Mahler);I2;;Inferior;9,8;10,8
Gorilla gorilla;Cleveland Museum of Natural History;1844;Male;Original (Mahler);M1;;Inferior;16,9;14,9
Gorilla gorilla;Cleveland Museum of Natural History;1844;Male;Original (Mahler);I1;;Superior;15,8;10,8
Gorilla gorilla;Cleveland Museum of Natural History;1844;Male;Original (Mahler);I2;;Superior;11;9,6
Gorilla gorilla;Cleveland Museum of Natural History;1844;Male;Original (Mahler);M1;;Superior;16;16,5
Gorilla gorilla;Cleveland Museum of Natural History;1845;Male;Original (Mahler);M1;;Superior;15,2;13
Gorilla gorilla;Cleveland Museum of Natural History;1845;Male;Original (Mahler);M2;;Superior;17,4;15,2
Gorilla gorilla;Cleveland Museum of Natural History;1845;Male;Original (Mahler);I1;;Superior;14,6;11,1
Gorilla gorilla;Cleveland Museum of Natural History;1845;Male;Original (Mahler);I2;;Superior;10,3;10,7
Gorilla gorilla;Cleveland Museum of Natural History;1845;Male;Original (Mahler);Pm4;;Superior;11,45;14,8
Gorilla gorilla;Cleveland Museum of Natural History;1845;Male;Original (Mahler);M1;;Superior;14,5;15,3
Gorilla gorilla;Cleveland Museum of Natural History;1845;Male;Original (Mahler);M2;;Superior;15,2;16,85
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);I1;;Inferior;7,9;8,9
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);I2;;Inferior;9,7;10,2
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);C;;Inferior;10,8;13,8
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);Pm3;;Inferior;9,8;15,8
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);Pm4;;Inferior;10,2;11,7
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);M1;;Inferior;14,3;12,7
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);M2;;Inferior;15,3;14,1
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);M3;;Inferior;15,2;14,2
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);I1;;Superior;12,8;9,8
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);I2;;Superior;9,5;9,1
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);C;;Superior;15,5;11,6
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);Pm3;;Superior;11;14,8
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);Pm4;;Superior;10,1;14,6
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);M1;;Superior;14,1;14,85
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);M2;;Superior;13,9;15
Gorilla gorilla;Cleveland Museum of Natural History;1846;Female;Original (Mahler);M3;;Superior;13,65;14,2
Gorilla gorilla;Cleveland Museum of Natural History;1847;Male;Original (Mahler);I1;;Inferior;9,1;10,9
Gorilla gorilla;Cleveland Museum of Natural History;1847;Male;Original (Mahler);I2;;Inferior;10,1;11,8
