Species;Site;Specimen = inventory n°;Sex;Source;Tooth;Tooth;Tooth;Crown;
;;;;;Tooth;Right / Left;Upper / Lower;M.D. (in mm);B.L. (in mm)
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);I2;Left;Superior;7.2;7.3
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);C;Left;Superior;12.5;10
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);Pm3;Left;Superior;9;12.7
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);Pm4;Left;Superior;8.5;12.5
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);M1;Left;Superior;11;12.4
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);M2;Left;Superior;11.5;13.9
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);M3;Left;Superior;11.2;13.7
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);I2;Right;Superior;7.1;7.5
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);C;Right;Superior;12.4;10.1
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);Pm3;Right;Superior;8.8;12.5
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);Pm4;Right;Superior;8.6;12.4
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);M1;Right;Superior;10.7;12.3
